ID_MUNIC,MUNIC,DRS,NM_DRS,RRAS,CODRS,NM_RS,GVE,NM_GVE
355030,Sao Paulo,1,DRS I - CAPITAL,6,35016,São Paulo,1,CAPITAL
351380,Diadema,1,DRS I - CAPITAL,1,35015,Grande ABC,7,SANTO ANDRÉ
352940,Maua,1,DRS I - CAPITAL,1,35015,Grande ABC,7,SANTO ANDRÉ
354330,Ribeirao Pires,1,DRS I - CAPITAL,1,35015,Grande ABC,7,SANTO ANDRÉ
354410,Rio Grande da Serra,1,DRS I - CAPITAL,1,35015,Grande ABC,7,SANTO ANDRÉ
354780,Santo Andre,1,DRS I - CAPITAL,1,35015,Grande ABC,7,SANTO ANDRÉ
354870,Sao Bernardo do Campo,1,DRS I - CAPITAL,1,35015,Grande ABC,7,SANTO ANDRÉ
354880,Sao Caetano do Sul,1,DRS I - CAPITAL,1,35015,Grande ABC,7,SANTO ANDRÉ
350390,Aruja,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
350660,Biritiba-Mirim,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
351570,Ferraz de Vasconcelos,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
351830,Guararema,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
351880,Guarulhos,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
352310,Itaquaquecetuba,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
353060,Mogi das Cruzes,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
353980,Poa,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
354500,Salesopolis,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
354680,Santa Isabel,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
355250,Suzano,1,DRS I - CAPITAL,2,35011,Alto do Tietê,8,MOGI DAS CRUZES
350900,Caieiras,1,DRS I - CAPITAL,3,35012,Franco da Rocha,9,FRANCO DA ROCHA
350920,Cajamar,1,DRS I - CAPITAL,3,35012,Franco da Rocha,9,FRANCO DA ROCHA
351630,Francisco Morato,1,DRS I - CAPITAL,3,35012,Franco da Rocha,9,FRANCO DA ROCHA
351640,Franco da Rocha,1,DRS I - CAPITAL,3,35012,Franco da Rocha,9,FRANCO DA ROCHA
352850,Mairipora,1,DRS I - CAPITAL,3,35012,Franco da Rocha,9,FRANCO DA ROCHA
350570,Barueri,1,DRS I - CAPITAL,5,35014,Rota dos Bandeirantes,10,OSASCO
351060,Carapicuiba,1,DRS I - CAPITAL,5,35014,Rota dos Bandeirantes,10,OSASCO
351300,Cotia,1,DRS I - CAPITAL,4,35013,Mananciais,10,OSASCO
351500,Embu,1,DRS I - CAPITAL,4,35013,Mananciais,10,OSASCO
351510,Embu-Guacu,1,DRS I - CAPITAL,4,35013,Mananciais,10,OSASCO
352220,Itapecerica da Serra,1,DRS I - CAPITAL,4,35013,Mananciais,10,OSASCO
352250,Itapevi,1,DRS I - CAPITAL,5,35014,Rota dos Bandeirantes,10,OSASCO
352500,Jandira,1,DRS I - CAPITAL,5,35014,Rota dos Bandeirantes,10,OSASCO
352620,Juquitiba,1,DRS I - CAPITAL,4,35013,Mananciais,10,OSASCO
353440,Osasco,1,DRS I - CAPITAL,5,35014,Rota dos Bandeirantes,10,OSASCO
353910,Pirapora do Bom Jesus,1,DRS I - CAPITAL,5,35014,Rota dos Bandeirantes,10,OSASCO
354730,Santana de Parnaiba,1,DRS I - CAPITAL,5,35014,Rota dos Bandeirantes,10,OSASCO
354995,Lourenco da Serra,1,DRS I - CAPITAL,4,35013,Mananciais,10,OSASCO
355280,Taboao da Serra,1,DRS I - CAPITAL,4,35013,Mananciais,10,OSASCO
355645,Vargem Grande Paulista,1,DRS I - CAPITAL,4,35013,Mananciais,10,OSASCO
350280,Aracatuba,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
350420,Auriflama,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
350620,Bento de Abreu,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
350640,Bilac,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
351820,Guararapes,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
351890,Guzolandia,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
353286,Nova Castilho,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
353330,Nova Luzitania,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
354440,Rubiacea,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
354805,Santo Antonio do Aracangua,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
355630,Valparaiso,2,DRS II - ARAÇATUBA,19,35021,Central do DRS II,11,ARAÇATUBA
350110,Alto Alegre,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
350440,Avanhandava,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
350510,Barbosa,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
350650,Birigui,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
350770,Brauna,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
350775,Brejo Alegre,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
350810,Buritama,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
351190,Clementina,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
351250,Coroados,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
351650,Gabriel Monteiro,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
351710,Glicerio,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
352725,Lourdes,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
352770,Luiziania,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
353730,Penapolis,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
353770,Piacatu,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
354840,Santopolis do Aguapei,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
355520,Turiuba,2,DRS II - ARAÇATUBA,19,35023,Consórcios do DRS II,11,ARAÇATUBA
