Municipio,Codigo Municipio,GVE,Nome Posto,Endereço,Tipo Soro,24H,Telefone,Acidentes,Latitude,Longitude
ADAMANTINA,350010,GVE 19 MARILIA,SANTA CASA DE MISERICÓRDIA - ADAMANTINA,"R. JOAQUIM LUIZ VIANA, 209","Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(18) 3502-2200,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-21.69281,-51.07063
ADOLFO,350020,GVE 29 SAO JOSE DO RIO PRETO,"UNIDADE BÁSICA DE SAÚDE DE ADOLFO
","RUA MANOEL CARLOS FIGUEIREDO FERRAZ, ADOLFO - SP
",,1,(17) 3814-1295,,-21.23312,-49.64184
AGUAI,350030,GVE 26 SAO JOAO DA BOA VISTA,PRONTO SOCORRO MUNICIPAL DE AGUAI,"R. Alexandrino de Alençar, 127 - Vila Bom Gosto, Aguaí - SP, 13863-016",,1,(19) 3653-7179,,-22.06347,-46.98109
AGUAS DA PRATA,350040,GVE 26 SAO JOAO DA BOA VISTA,"UNIDADE INTEGRADA DE SAÚDE LEOPOLDO DE ARAÚJO
","AVENIDA LÁZARO ANSELMO RAMOS, 200 - JARDIM ÁGUAS DA PRATA, ÁGUAS DA PRATA - SP, 13890-000
",,0,(19) 3642-1303,,-21.94658,-46.72514
AGUAS DE LINDOIA,350050,GVE 17 CAMPINAS,HOSPITAL SÃO CAMILO - ÁGUAS DE LINDÓIA,"RUA SANTA CATARINA, 158",Escorpiônico,1,(19) 3824-1122,ESCORPIÃO.,-22.47367,-46.63425
AGUAS DE SANTA BARBARA,350055,GVE 16 BOTUCATU,UBS ÁGUAS DE SANTA BÁRBARA,"AVENIDA ABEL DO IMPÉRIO, 455 - JARDIM ADONIS, ÁGUAS DE SANTA BÁRBARA - SP, 18770-000
",,0,(14) 3765-1590,,-22.88738,-49.23892
AGUAS DE SAO PEDRO,350060,GVE 20 PIRACICABA,PRONTO ATENDIMENTO DE ÁGUAS DE SÃO PEDRO,"RUA ANTÔNIO FEIJÓ - CENTRO, ÁGUAS DE SÃO PEDRO - SP, 13528-021",,1,(19) 3482-1721,,-22.59686,-47.87857
AGUDOS,350070,GVE 15 BAURU,HOSPITAL DE AGUDOS,"Av. Benedito Otoni, 209 - Centro, Agudos - SP, 17120-000",,1,(14) 3262-8800,,-22.46940,-48.98442
ALAMBARI,350075,GVE 31 SOROCABA,UBS ALAMBARI,"RUA JOSÉ VLADIMIR NORONHA DE OLIVEIRA, 150 - CENTRO, ALAMBARI - SP, 18220-000",,0,(15) 3274-1160,,-23.55305,-47.89878
ALFREDO MARCONDES,350080,GVE 21 PRESIDENTE PRUDENTE,UBS DE ALFREDO MARCONDES,"RUA DAS AMÉRICAS, 558 - CENTRO, ALFREDO MARCONDES - SP, 19180-000",,0,(18) 3266-8350,,-21.95264,-51.41383
